"data_id" "activity_type" "subject_id" "direction" "mean of means of acceleration on body over time" "mean of means of gravitational acceleration signal over time" "mean of means of jerk on body over time" "mean of means of gyroscopic acceleration on body over time" "mean of means of gyroscopic jerk on body over time" "mean of standard deviations of acceleration on body over time" "mean of standard deviations of gravitational acceleration signal over time" "mean of standard deviations of jerk on body over time" "mean of standard deviations of gyroscopic acceleration on body over time" "mean of standard deviations of gyroscopic jerk on body over time" "mean of means of body acceleration frequency signal" "mean of means of jerk frequency signals" "mean of means of gyroscopic frequency signal of body" "mean of standard deviations of acceleration frequency signal" "mean of standard deviations of jerk frequency signal" "mean of standard deviations of gyroscopic frequency signal of body"
"laying-1-X" "laying" "1" "X" 0.22159824394 -0.25504375 0.023446864 0.031551954 -0.11906637 -0.9280564692 -0.78374234 -0.94745338 -0.95513929 -0.96974195 -0.9390990524 -0.94917576 -0.95217596 -0.9244374346 -0.95022293 -0.95626437
"laying-1-Y" "laying" "1" "Y" -0.0405139534294 0.77465873 0.00081333847 -0.13199514 -0.048786067 -0.83682740562 -0.98892557 -0.89722597 -0.93360561 -0.9531439 -0.86706520518 -0.89800411 -0.93313376 -0.8336255561 -0.90367544 -0.93427842
"laying-1-Z" "laying" "1" "Z" -0.11320355358 0.58977655 0.052811325 0.54327885 -0.15544951 -0.826061401628 -0.89538076 -0.97816837 -0.81188693 -0.97210194 -0.8826668762 -0.9729599 -0.83554013 -0.81289155944 -0.98246061 -0.82168422
"laying-10-X" "laying" "10" "X" 0.280230574137931 -0.5471503 -0.016326048 0.040785464 -0.11120331 -0.968283685 -0.4930341 -0.82912267 -0.86768549 -0.86676487 -0.96918420862069 -0.84404983 -0.8346173 -0.96796803862069 -0.82855476 -0.87812607
"laying-10-Y" "laying" "10" "Y" -0.024294484137931 0.93596758 0.068131271 -0.10531439 -0.011463226 -0.946454302068966 -0.9914057 -0.66556704 -0.67143014 -0.78806699 -0.954341849137931 -0.70379698 -0.6817348 -0.946229148258621 -0.64603295 -0.66746488
"laying-10-Z" "laying" "10" "Z" -0.117168642362069 0.3271962 0.064208367 0.63038827 -0.2007382 -0.95947148637931 -0.88308505 -0.89483617 -0.66342692 -0.85173542 -0.964300845172414 -0.88099281 -0.65320582 -0.959813667810345 -0.9074708 -0.6974691
"laying-11-X" "laying" "11" "X" 0.280592970877193 -0.15142676 0.13675681 -0.00096965568 -0.14112815 -0.98477733 -0.79451424 -0.93891595 -0.88581439 -0.93010117 -0.983801365614035 -0.93693418 -0.87086092 -0.985322211929825 -0.94696429 -0.89083816
"laying-11-Y" "laying" "11" "Y" -0.0176598052315789 0.94277314 -0.00274205 0.21612347 -0.07528114 -0.972196873859649 -0.92379558 -0.94752382 -0.930618 -0.96444107 -0.971403935438596 -0.94736235 -0.9300228 -0.973589287368421 -0.95152242 -0.93138419
"laying-11-Z" "laying" "11" "Z" -0.108786578070175 0.19942108 0.084191657 0.80157166 -0.13368549 -0.971311176842105 -0.7869761 -0.94868867 -0.7642253 -0.93227168 -0.973576812807018 -0.93776135 -0.80441013 -0.971668077017544 -0.95926049 -0.77375047
"laying-12-X" "laying" "12" "X" 0.260113433 -0.071495238 0.51310445 -0.0072815003 0.032987426 -0.95531868 0.46387673 -0.86032343 -0.81609138 -0.83908113 -0.956248487666667 -0.85543016 -0.75011989 -0.955207641833333 -0.87918899 -0.8372392
